isin,symbol,company_name,bucket,pipeline_events_summary,price_gap_summary,web_action_summary,web_source_urls,web_status,agrees_with_price,confidence,recommended_verdict,notes
INE004I01017,ABHISHEK,Abhishek Corporation Ltd (fmr Abhishek Mills),count-conflict,"merged 2 entries ratio 0.025 (REVERSE) on 2024-05-10/2024-05-24 -> applied 0.0006 (0.025^2)","coverage_hole (price file ends 2021-12-13; no 2024 data). 2017 gap 2.32 unrelated.","ONE 1:40 reverse consolidation (NCLT) ex/record 2024-05-24 (factor 0.025)",https://www.bseindia.com/stock-share-price/abhishek-corporation-ltd/abhishek/532831/corp-action/,ok,partial,medium,resolve-apply-once,"ONE 40:1 consolidation (factor 0.025); pipeline double-counted (0.0006). Web revises ex 2024-05-10 -> 2024-05-24. Price coverage hole (file ends 2021). Apply 0.025 once."
INE289S01013,CMMIPL,CMM Infraprojects Ltd.,count-conflict,"merged 2 entries ratio 0.01 (REVERSE) on 2025-04-15/2025-04-24 -> applied 0.0001","no clear gap near 2025-04 (file ends 2025-04-23; only 2017-10-12 listing gap). outcome wipeout -1.0","NO RELIABLE DATA",,NO_RELIABLE_DATA,N,low,STAYS-FLAGGED,"Web found nothing; no clean price gap on the event date; wipeout. Do not apply. STAYS FLAGGED."
INE669Y01022,SHARIKA,Sharika Enterprises Ltd.,count-conflict,"flagged as merged 2 entries ratio 2.0 on 2021-07-08/2021-08-17 (span 40d) -> applied cumulative 4.0","gap 2021-08-17 ~1.725x (split). Bonus 2021-07-08 not isolated in detector.","1:1 bonus ex 2021-07-08 (factor 2.0) AND 1:2 split ex 2021-08-16/17 (factor 2.0) = TWO distinct events",https://trendlyne.com/equity/Bonus/SHARIKA/82642/sharika-enterprises-ltd-bonus/;https://www.tickertape.in/stocks/sharika-enterprises-SHA,ok,partial,medium,resolve-correct-ratio,"NOT a duplicate: these are TWO genuine distinct events (bonus 2.0 + split 2.0). Applied cumulative 4.0 is CORRECT - keep as-is. Dedup mis-flagged two real events as one. Price confirms split gap; bonus gap not isolated."
INE01A501027,RANJEET,Ranjeet Mechatronics Ltd.,count-conflict,"flagged as merged 2 entries ratio 2.0 on 2025-04-02/2025-04-21 -> applied cumulative 4.0","coverage starts at event (file 2025-04-21+); no gap captured","1:1 bonus ex 2025-04-02 (factor 2.0) AND 1:2 split ex 2025-04-21 (factor 2.0) = TWO distinct events",https://trendlyne.com/equity/Bonus/541945/108994/ranjeet-mechatronics-ltd-bonus/;https://www.findoc.com/blog/ranjeet-mechatronics-ltd-announces-stock-split,ok,partial,medium,resolve-correct-ratio,"NOT a duplicate: TWO genuine distinct events (bonus 2.0 + split 2.0). Applied cumulative 4.0 is CORRECT - keep as-is. Dedup mis-flagged two real events as one. Price coverage starts at event."
INE07O001026,EASEMYTRIP,Easy Trip Planners Ltd.,ratio-conflict,"ratio-conflict on 2022-11-21 (yahoo 4.0 vs nse 3.0) -> cumulative 32.0","gap 2022-11-21 ~6.67x; gap 2022-02-28 ~1.91x (1:1 bonus); gap 2024-11-29 ~1.82x (1:1 bonus)","2022-11-21 SIMULTANEOUS 3:1 bonus (factor 4.0) + 2:1 split (factor 2.0) = combined 8.0; plus 1:1 bonus 2022-02-28; 1:1 bonus 2024-11-29",https://www.moneycontrol.com/company-facts/easytripplanners/bonus/ETP01;https://www.moneycontrol.com/company-facts/easytripplanners/splits/ETP01,ok,partial,medium,resolve-correct-ratio,"2022-11-21 was a compound 3:1 bonus + 2:1 split = combined ~8x; sources each captured only part (3 or 4). Price gap 6.67x is between 4 and 8 (ambiguous). True cumulative (2 x 8 x 2)=32 = matches applied. Owner review: 2022-11-21 combined factor likely 8x."
INE0Y8W01025,AHCL,Anlon Healthcare Ltd.,ratio-conflict,"ratio-conflict on 2026-04-24 (yahoo 2.0 vs nse 3.5) -> cumulative 10.0","gap 2026-04-24 ~9.06x","2026-04-24 SIMULTANEOUS 1:5 split (factor 5.0) + 1:1 bonus (factor 2.0) = combined 10.0",https://www.bseindia.com/ (BSE corp-actions); India Infoline corp-action page,ok,Y,high,resolve-correct-ratio,"Compound 1:5 split + 1:1 bonus = 10x. Price gap 9.06x ~= 10x confirms. Applied 10.0 is CORRECT. URLs were vertex grounding redirects citing BSE/India Infoline."
INE0LCW01025,ISHAN,Ishan International Ltd.,ratio-conflict,"ratio-conflict on 2024-01-25 (yahoo 10.0 vs nse 6.5) -> cumulative 30.0","gap 2024-01-25 ~28.56x (also 2022-09-22 near listing)","2024-01-25 SIMULTANEOUS 10:1 split (factor 10.0) + 2:1 bonus (factor 3.0) = combined 30.0",https://trendlyne.com/equity/Split/ISHAN/1032265/ishan-international-ltd-split/;https://trendlyne.com/equity/Bonus/ISHAN/1032265/ishan-international-ltd-bonus/,ok,Y,high,resolve-correct-ratio,"Compound 10:1 split + 2:1 bonus = 30x. Price gap 28.56x ~= 30x confirms. Applied 30.0 is CORRECT."
INE0HS001028,COOLCAPS,Cool Caps Industries Ltd.,ratio-conflict,"ratio-conflict on 2025-07-04 (yahoo 5.0 vs nse 3.5) -> cumulative 10.0","gap 2025-07-04 ~3.70x","2025-07-04 SIMULTANEOUS 1:5 split (factor 5.0) + 1:1 bonus (factor 2.0) = web combined 10.0",https://trendlyne.com/equity/Split/COOLCAPS/845609/cool-caps-industries-ltd-split/;https://trendlyne.com/equity/Bonus/COOLCAPS/845609/cool-caps-industries-ltd-bonus/,ok,N,low,STAYS-FLAGGED,"PRICE vs WEB DISAGREE: web says combined 10x but raw price only gapped ~3.7x. Price (senior referee) short of both 5x and 10x. Do not apply 10x. STAYS FLAGGED for owner."
INE045J01034,FCL,Fineotex Chemical Ltd.,ratio-conflict,"ratio-conflict on 2025-10-31 (yahoo 2.0 vs nse 3.5) -> cumulative 100.0","gap 2025-10-31 ~12.98x; 2015-02-12 ~2.16x; 2015-06-11 ~5.22x","2025-10-31 SIMULTANEOUS 4:1 bonus (factor 5.0) + 1:2 split (factor 2.0) = combined 10.0; 2015 1:1 bonus + 1:5 split",https://trendlyne.com/equity/Bonus/FCL/1562/fineotex-chemical-ltd-bonus/;https://trendlyne.com/equity/Split/FCL/1562/fineotex-chemical-ltd-split/,ok,partial,medium,resolve-correct-ratio,"2025-10-31 compound 4:1 bonus + 1:2 split = web 10x; price gap ~13x (somewhat above). True cumulative (2x5x10)=100 matches applied. Owner review: 2025 combined ~10x; price slightly higher."
INE840Y01029,ONEPOINT,One Point One Solutions Ltd.,ratio-conflict,"ratio-conflict on 2022-01-18 (yahoo 5.0 vs nse 3.25) -> cumulative 11.25","gap 2022-01-18 ~7.16x; gap 2019-04-24 ~1.49x (1:2 bonus)","2022-01-18 SIMULTANEOUS 5:1 split (factor 5.0) + 1:2 bonus (factor 1.5) = combined 7.5; plus 1:2 bonus 2019-04-24",https://www.goodreturns.in/company/one-point-one-solutions/splits.html;https://www.goodreturns.in/company/one-point-one-solutions/bonus.html,ok,Y,high,resolve-correct-ratio,"Compound 5:1 split + 1:2 bonus = 7.5x. Price gap 7.16x ~= 7.5x confirms. True cumulative (1.5 x 7.5)=11.25 matches applied."
INE625X01026,SILVERTUC,Silver Touch Technologies Ltd.,ratio-conflict,"ratio-conflict on 2026-03-06 (yahoo 2.0 vs nse 3.5) -> cumulative 10.0","gap 2026-03-06 ~5.14x","2026-03-06 SIMULTANEOUS 1:5 split (factor 5.0) + 1:1 bonus (factor 2.0) = web combined 10.0",https://www.etmoney.com/stocks/silver-touch-technologies-ltd-silvertuc;https://www.angelone.in/stocks/silver-touch-technologies-ltd-silvertuc,ok,N,low,STAYS-FLAGGED,"PRICE vs WEB DISAGREE: web 10x combined but raw price gapped only ~5.1x (= the split alone; bonus not reflected same day). Price (senior) shows 5x. Do not apply 10x. STAYS FLAGGED for owner."
INE405Y01021,GOLDSTAR,Goldstar Power Ltd.,ratio-conflict,"ratio-conflict on 2023-01-20 (yahoo 1.8 vs nse 5.9) -> cumulative 22.5","gap 2023-01-20 ~17.13x; gap 2023-07-19 ~1.20x (1:4 bonus)","2023-01-20 SIMULTANEOUS 1:10 split (factor 10.0) + 4:5 bonus (factor 1.8) = combined 18.0; plus 1:4 bonus 2023-07-19 (factor 1.25)",https://www.moneycontrol.com/company-facts/goldstarpower/splits/GP13;https://www.moneycontrol.com/company-facts/goldstarpower/bonus/GP13,ok,Y,high,resolve-correct-ratio,"Compound 1:10 split + 4:5 bonus = 18x. Price gap 17.13x ~= 18x confirms. True cumulative (18 x 1.25)=22.5 matches applied."
INE972X01022,VAISHALI,Vaishali Pharma Ltd.,ratio-conflict,"ratio-conflict on 2024-10-15 (yahoo 5.0 vs nse 3.5) -> cumulative 16.0","gap 2024-10-15 ~6.49x; gap 2019-10-29 ~1.63x (3:5 bonus)","2024-10-15 SIMULTANEOUS 1:5 split (factor 5.0) + 1:1 bonus (factor 2.0) = web combined 10.0; plus 3:5 bonus 2019",https://www.nseindia.com/companies-listing/corporate-filings-actions?symbol=VAISHALI,ok,N,low,STAYS-FLAGGED,"PRICE vs WEB DISAGREE for 2024 event: web 10x combined but raw price gapped only ~6.5x (between split-only 5x and combined 10x). Price (senior) ambiguous. Do not apply 10x. STAYS FLAGGED for owner."
INE632X01030,SHRENIK,Shrenik Ltd.,ratio-conflict,"ratio-conflict on 2020-10-08 (yahoo 2.0 vs nse 2.5) -> cumulative 30.0","gap 2020-10-08 ~5.46x; gap 2018-07-09 ~4.58x (5:1 split)","2020-10-08 SIMULTANEOUS 2:1 split (factor 2.0) + 2:1 bonus (factor 3.0) = combined 6.0; plus 5:1 split 2018-07-09",https://nsearchives.nseindia.com/corporate/SHRENIK_24082020150436_BM24082020.pdf;https://nsearchives.nseindia.com/corporate/SHRENIK_28092020181148_Recorddatebonussplit.pdf,ok,Y,high,resolve-correct-ratio,"Compound 2:1 split + 2:1 bonus = 6x. Price gap 5.46x ~= 6x confirms. True cumulative (5 x 6)=30 matches applied. NSE archive PDFs cited."
INE581X01021,GLOBE,Globe Textiles (India) Ltd.,ratio-conflict,"ratio-conflict on 2021-08-03 (yahoo 3.0 vs nse 4.0) -> cumulative 15.0","gap 2021-08-03 ~14.33x (also 2017-06-23 near listing)","2021-08-03 SIMULTANEOUS 5:1 split (factor 5.0) + 2:1 bonus (factor 3.0) = combined 15.0",https://trendlyne.com/stock/corporate-actions/80170/GLOBE/globe-enterprises-india-ltd/,ok,Y,high,resolve-correct-ratio,"Compound 5:1 split + 2:1 bonus = 15x. Price gap 14.33x ~= 15x confirms. Applied 15.0 is CORRECT."
INE01KI01027,VINNY,Vinny Overseas Ltd.,ratio-conflict,"ratio-conflict on 2023-02-24 (yahoo 2.3 vs nse 6.15) -> cumulative 25.3","gap 2023-02-24 ~21.92x; gap 2022-05-26 ~1.05x (1:10 bonus); 2018-10-11 near listing","2023-02-24 SIMULTANEOUS 10:1 split (factor 10.0) + 13:10 bonus (factor 2.3) = combined 23.0; plus 1:10 bonus 2022-05-26 (factor 1.1)",https://trendlyne.com/equity/Split/VINNY/111260/vinny-overseas-ltd-split/;https://trendlyne.com/equity/Bonus/VINNY/111260/vinny-overseas-ltd-bonus/,ok,Y,high,resolve-correct-ratio,"Compound 10:1 split + 13:10 bonus = 23x. Price gap 21.92x ~= 23x confirms. True cumulative (1.1 x 23)=25.3 matches applied."
INE688Y01022,DANGEE,Dangee Dums Ltd.,ratio-conflict,"ratio-conflict on 2022-09-06 (yahoo 1.5 vs nse 5.75) -> cumulative 15.0","gap 2022-09-06 ~14.53x (also 2018-09-03 near listing; 2020-11-17 ~0.7 recovery)","2022-09-06 SIMULTANEOUS 10:1 split (factor 10.0) + 1:2 bonus (factor 1.5) = combined 15.0",https://trendlyne.com/equity/corporate-actions/split/149818/DANGEE/dangee-dums-ltd/;https://trendlyne.com/equity/corporate-actions/bonus/149818/DANGEE/dangee-dums-ltd/,ok,Y,high,resolve-correct-ratio,"Compound 10:1 split + 1:2 bonus = 15x. Price gap 14.53x ~= 15x confirms. Applied 15.0 is CORRECT."
INE626Z01029,HARDWYN,Garv Industries Ltd / Hardwyn India Ltd,ratio-conflict,"ratio-conflict on 2023-06-05 (yahoo 10.0 vs nse 5.6667) -> cumulative 28.0","gap 2023-06-05 ~12.17x; 2022-07-25 ~1.43x (1:2 bonus); 2024-12-27 ~1.52x (2:5 bonus)","2023-06-05 SIMULTANEOUS 10:1 split (10.0) + 1:3 bonus (factor 1.333) = combined 13.33; plus 1:2 bonus 2022-07-25; 2:5 bonus 2024-12-27",https://www.moneycontrol.com/company-facts/hardwynindia/splits/GI34;https://trendlyne.com/equity/corporate-actions/bonus/HARDWYN/hardwyn-india-ltd/,ok,Y,high,resolve-correct-ratio,"Compound 10:1 split + 1:3 bonus = 13.33x. Price gap 12.17x ~= 13.3x confirms. True cumulative (1.5 x 13.33 x 1.4)=28 matches applied."
INE324X01026,SARVESHWAR,Sarveshwar Foods Ltd.,ratio-conflict,"ratio-conflict on 2023-09-15 (yahoo 3.0 vs nse 6.5) -> cumulative 30.0","gap 2023-09-15 ~29.62x (also 2018-03-15 near listing)","2023-09-15 SIMULTANEOUS 1:10 split (factor 10.0) + 2:1 bonus (factor 3.0) = combined 30.0",https://www.livemint.com/market/stock-market-news/21-bonus-shares-1-10-stock-split-sme-stock-sarveshwar-foods-gives-200-return-to-ipo-allottees-in-6-years-11714728709060.html,ok,Y,high,resolve-correct-ratio,"Compound 1:10 split + 2:1 bonus = 30x. Price gap 29.62x ~= 30x confirms. Applied 30.0 is CORRECT."
INE740X01023,LAL,Lorenzini Apparels Ltd.,ratio-conflict,"ratio-conflict on 2024-03-28 (yahoo 1.5455 vs nse 5.7727) -> cumulative 15.4546","gap 2024-03-28 ~15.18x (also 2023-04-10 near listing)","2024-03-28 SIMULTANEOUS 10:1 split (factor 10.0) + 6:11 bonus (factor 1.5455) = combined 15.4545",https://trendlyne.com/equity/corporate-actions/540952/split/lorenzini-apparels-ltd/;https://trendlyne.com/equity/corporate-actions/540952/bonus/lorenzini-apparels-ltd/,ok,Y,high,resolve-correct-ratio,"Compound 10:1 split + 6:11 bonus = 15.4545x. Price gap 15.18x ~= 15.45x confirms. Applied 15.4546 is CORRECT."
INE04AK01028,SBC,SBC Exports Ltd.,ratio-conflict,"ratio-conflict on 2022-02-22 (yahoo 10.0 vs nse 6.0) -> cumulative 45.0","gap 2022-02-22 ~19.03x; gap 2025-03-10 ~1.47x (1:2 bonus); 2021-11-23 near listing","2022-02-22 SIMULTANEOUS 10:1 split (10.0) + 1:1 bonus (2.0) = combined 20.0; plus 1:2 bonus 2024-01-19; 1:2 bonus 2025-03-10",https://trendlyne.com/stock/corporate-actions/bonus/SBC/sbc-exports-ltd/,ok,Y,high,resolve-correct-ratio,"Compound 10:1 split + 1:1 bonus = 20x. Price gap 19.03x ~= 20x confirms. True cumulative (20 x 1.5 x 1.5)=45 matches applied."
INE619A01035,PATANJALI,Patanjali Foods Ltd (fmr Ruchi Soya),reverse-split,"reverse-split row ex 2019-11-14 factor 0.01 (100:1)","gap 2020-01-27 ~105.4x (relisting after consolidation); gap 2025-09-11 ~3.0x (2:1 bonus)","100:1 consolidation (NCLT IBC) record 2019-11-16, effective Dec 2019, relisted Jan 2020 (factor 0.01); plus 5:1 split 2007; 2:1 bonus 2025-09-11",https://www.moneycontrol.com/company-facts/patanjalifoods/corporate-actions/RSI;https://www.bseindia.com/corporates/ann.html?scrip=500368,ok,Y,high,resolve-apply-once,"Real 100:1 NCLT consolidation; price gap ~105x at Jan-2020 relisting confirms. Factor 0.01 is CORRECT. (2007 5:1 split is a separate phantom row, price coverage hole.)"
INE0MJQ01020,PRITIKA,Pritika Engineering Components Ltd.,reverse-split,"flagged reverse-split ex 2025-02-14 factor 0.6207 (treated as reverse of ratio 2.0)","gap 2025-02-17 prev 54 -> next 87 (price UP ~1.6x)","ONE FORWARD 1:2 split (FV 10->5) ex 2025-02-14 (factor 2.0) - NOT a reverse split",https://trendlyne.com/equity/Split/PRITIKA/1157337/pritika-engineering-components-ltd-split/,ok,partial,medium,resolve-reverse-direction,"Web: this is a FORWARD 2:1 split, NOT reverse. Pipeline mislabeled direction (applied 0.62 instead of 2.0). Apply as forward split factor 2.0. (Raw price direction confusing - went up - but web clearly states forward split.)"
INE533D01032,RAJRILTD,Raj Rayon Industries Ltd.,reverse-split,"reverse-split row ex 2021-10-25 factor 0.01 (100:1)","gap at 2022-03-16 resumption (penny-stock noise, dir messy); multiple small 2022 gaps","1:100 capital reduction/consolidation (NCLT) record 2021-10-26, suspended, resumed 2022-03-16 (factor 0.01); plus 10:1 forward split 2013-03-04",https://trendlyne.com/equity/corporate-actions/RAJRAYON/raj-rayon-industries-ltd/,ok,partial,medium,resolve-apply-once,"Real 1:100 NCLT consolidation; ratio 0.01 matches web. Suspension/resumption dates corroborate. Price gap present at resumption but penny-stock noise. Apply 0.01 once. (2013 forward split separate.)"
INE817H01014,BURNPUR,Burnpur Cement Ltd.,reverse-split,"reverse-split row ex 2025-01-30 factor 0.2 (5:1)","coverage_hole (price file ends 2025-01-29, day before ex)","1:5 consolidation via capital reduction (NCLT) ex 2025-01-30 (factor 0.2)",https://www.bseindia.com/stock-share-price/burnpur-cement-ltd/burnpur/532931/corp-filings/,ok,partial,medium,resolve-apply-once,"Real 5:1 consolidation; ratio 0.2 matches web. Price coverage hole (file ends day before ex). Apply 0.2 once."
INE234I01028,KAUSHALYA,Kaushalya Infrastructure Development Corp. Ltd.,reverse-split,"reverse-split row ex 2024-01-12 factor 0.01 (100:1)","gap 2024-02-06 prev 9.85 -> next 988.3 (price UP ~100x) - confirms consolidation","1:100 consolidation (FV 10->1000) ex 2024-01-12 (factor 0.01)",https://www.nseindia.com/companies-listing/corporate-filings-corporate-actions?symbol=KAUSHALYA,ok,Y,high,resolve-apply-once,"Real 100:1 consolidation; price gap +100x (price jumped up exactly as a consolidation does) confirms. Factor 0.01 is CORRECT."
INE105I01020,SELMC,SEL Manufacturing Co. Ltd.,reverse-split,"reverse-split row ex 2021-03-09 factor 0.001 (1000:1)","gap at 2021-10-28 resumption (penny-stock/wipeout noise, dir down)","1:1000 capital reduction/consolidation (NCLT CIRP) record 2021-03-10, suspended, resumed 2021-10-26 (factor 0.001)",https://www.indiainfoline.com/company/sel-manufacturing-company-ltd/corporate-action/split;https://trendlyne.com/equity/Split/SELMC/1201/sel-manufacturing-company-ltd-split/,ok,partial,medium,resolve-apply-once,"Real 1:1000 NCLT consolidation (33.13cr -> 3.31 lakh shares); ratio 0.001 matches web. Suspension/resumption dates corroborate. Price gap at resumption is penny-stock/wipeout noise. Apply 0.001 once."
INE287C01037,MICEL,MIC Electronics Ltd.,reverse-split,"reverse-split row ex 2021-06-24 factor 0.25 (4:1)","gap at 2021-12-20 resumption (dir down, noisy)","Capital reduction to ~25% (1-for-4, NCLT) ex/record 2021-06-26, suspended, resumed 2021-12-17 (factor 0.25); plus 5:1 forward split 2008",https://trendlyne.com/equity/corporate-actions/532850/MICEL/mic-electronics-ltd/,ok,partial,medium,resolve-apply-once,"Real ~4:1 capital reduction (~25%); ratio 0.25 matches web. Suspension/resumption dates corroborate. Price gap at resumption noisy. Apply 0.25 once. (2008 5:1 split separate phantom.)"
INE025I01012,INDUSFILA,Indus Fila Ltd.,reverse-split,"TWO reverse-split rows ex 2026-01-29 + 2026-02-09 factor 0.1368 each -> cumulative 0.0026","coverage_hole (price file ends 2015-03-05; gaps only 2007). Long delisted, wipeout -1.0.","NO RELIABLE DATA",,NO_RELIABLE_DATA,N,low,STAYS-FLAGGED,"Web found nothing; non-standard ratio 0.1368; price coverage ends 2015; wipeout. Suspect phantom/data error (2026 action on a stock whose data ends 2015). Do not apply. STAYS FLAGGED."
INE774I01031,RMMIL,Resurgere Mines & Minerals India Ltd.,reverse-split,"reverse-split row ex 2012-06-14 factor 0.1 (10:1)","coverage starts after event (file 2012-06-27+); no gap captured","1:10 reverse split/consolidation ex 2012-06-14 (factor 0.1); plus 10:1 forward split + 2:1 bonus 2010",https://www.moneycontrol.com/company-facts/resurgereminesmineralsindia/splits/RMM02/;https://www.moneycontrol.com/company-facts/resurgereminesmineralsindia/bonus/RMM02/,ok,partial,medium,resolve-apply-once,"Real 1:10 consolidation; ratio 0.1 matches web. Price coverage begins after ex-date. Apply 0.1 once. (2010 forward split separate phantom.)"
INE955I01044,SEJALLTD,Sejal Glass Ltd (fmr Sejal Architectural Glass),reverse-split,"TWO reverse-split rows: ex 2011-11-09 factor 0.1 (10:1) AND ex 2021-05-07 factor 0.003 (~1:335.5)","gap at 2021-12-13 resumption (penny-stock noise)","1:10 consolidation ex 2011-11-09 (0.1); 1:335.5 capital reduction (NCLT) record 2021-05-10 (factor ~0.003); plus 10:1 forward split 2010",https://www.moneycontrol.com/company-facts/sejalglass/splits/SAG02;https://www.steelcitynettrade.com/equity-cash/capital-reduction-of-sejal-glass-limited/,ok,partial,medium,resolve-apply-once,"BOTH reverse rows real: 2011 10:1 (0.1) + 2021 1:335.5 (~0.003, 33.55M->100k shares). Both ratios match web. Apply each once. Cumulative 0.003 dominated by 2021 reduction. (2010 forward split separate.)"
INE878I01022,BAFNAPH,Bafna Pharmaceuticals Ltd.,reverse-split,"reverse-split row ex 2019-08-26 factor 0.1 (10:1)","gap 2020-03-02 ~17x (later, noisy); no clean gap on ex-date","1:10 capital reduction (NCLT) ex 2019-08-26, record 2019-08-27, suspended (factor 0.1)",https://trendlyne.com/equity/corporate-action/BAFNAPH/bafna-pharmaceuticals-ltd/,ok,partial,medium,resolve-apply-once,"Real 10:1 capital reduction; ratio 0.1 matches web. Dates corroborate. Price gap near period but not cleanly on ex-date. Apply 0.1 once."
